gt,generated,psnr,ssim,lpips,loe
10003_00_10s.ARW,test_10003_00_0.04s.png,26.634150759445472,0.737849,0.5022757053375244,167.6448
10003_00_10s.ARW,test_10003_00_0.1s.png,28.32334196437816,0.7799379,0.4539696276187897,136.186
10003_00_10s.ARW,test_10003_01_0.04s.png,26.662723618124495,0.7381545,0.5021655559539795,167.536
10003_00_10s.ARW,test_10003_01_0.1s.png,28.29081957299946,0.7793755,0.4556926488876343,132.9152
10003_00_10s.ARW,test_10003_02_0.04s.png,27.075255606703145,0.74400264,0.4936334788799286,156.0216
10003_00_10s.ARW,test_10003_02_0.1s.png,28.26721982221487,0.77914745,0.45542091131210327,136.9508
10003_00_10s.ARW,test_10003_03_0.04s.png,26.61491495799463,0.7365017,0.5055580139160156,157.8388
10003_00_10s.ARW,test_10003_03_0.1s.png,28.263403508118653,0.778661,0.4562552273273468,137.0972
10003_00_10s.ARW,test_10003_04_0.1s.png,28.2622221868446,0.77882355,0.4558742940425873,136.0216
10003_00_10s.ARW,test_10003_05_0.1s.png,28.303702829078343,0.7795817,0.45438486337661743,135.7304
10003_00_10s.ARW,test_10003_06_0.1s.png,28.24898817389642,0.7782693,0.4565853178501129,133.1456
10003_00_10s.ARW,test_10003_07_0.1s.png,28.2524064161908,0.7782943,0.45796653628349304,134.1232
10003_00_10s.ARW,test_10003_08_0.1s.png,28.32954007374456,0.7800081,0.4534139633178711,138.1564
10003_00_10s.ARW,test_10003_09_0.1s.png,28.303595527086753,0.7792845,0.45441603660583496,135.0296
10006_00_10s.ARW,test_10006_00_0.04s.png,28.957734752746465,0.83279413,0.42068803310394287,209.0824
10006_00_10s.ARW,test_10006_00_0.1s.png,30.957681763585793,0.86369497,0.38190633058547974,144.3544
10006_00_10s.ARW,test_10006_01_0.04s.png,28.39495609394357,0.8276213,0.4232870042324066,236.5376
10006_00_10s.ARW,test_10006_01_0.1s.png,30.83858899921665,0.86355716,0.3817876875400543,140.3184
10006_00_10s.ARW,test_10006_02_0.1s.png,30.905754194621732,0.86381966,0.3825707733631134,141.6872
10006_00_10s.ARW,test_10006_03_0.1s.png,30.861954161806583,0.8639593,0.38253986835479736,140.6684
10006_00_10s.ARW,test_10006_04_0.1s.png,30.837587815645946,0.8636438,0.3831409215927124,140.2112
10006_00_10s.ARW,test_10006_05_0.1s.png,30.816342191452225,0.8635455,0.3829691708087921,140.8056
10006_00_10s.ARW,test_10006_06_0.1s.png,30.96226714276603,0.863348,0.3829836845397949,142.5456
10006_00_10s.ARW,test_10006_07_0.1s.png,30.9910634690827,0.86394334,0.38177359104156494,144.3096
10006_00_10s.ARW,test_10006_08_0.1s.png,31.074099837797732,0.8635314,0.3815649151802063,145.0192
10006_00_10s.ARW,test_10006_09_0.1s.png,30.999179939644122,0.8637807,0.3830535113811493,145.3488
10011_00_10s.ARW,test_10011_00_0.04s.png,28.983528730809166,0.85820764,0.49404314160346985,571.204
10011_00_10s.ARW,test_10011_00_0.1s.png,30.055651649514445,0.9103002,0.33958351612091064,357.7256
10011_00_10s.ARW,test_10011_01_0.04s.png,28.994013666584763,0.85589314,0.5020323395729065,596.5188
10011_00_10s.ARW,test_10011_01_0.1s.png,29.990299871701858,0.9098985,0.338874876499176,361.4696
10011_00_10s.ARW,test_10011_02_0.1s.png,30.03762444069711,0.91020423,0.3385370969772339,352.148
10011_00_10s.ARW,test_10011_03_0.1s.png,30.035889341233695,0.91015464,0.3398776352405548,368.2008
10011_00_10s.ARW,test_10011_04_0.1s.png,30.036531863660024,0.90989345,0.3416958451271057,350.2248
10011_00_10s.ARW,test_10011_05_0.1s.png,30.066885980051026,0.91040903,0.3382573425769806,356.9808
10011_00_10s.ARW,test_10011_06_0.1s.png,29.96398623108572,0.9098866,0.33977842330932617,369.112
10011_00_10s.ARW,test_10011_07_0.1s.png,29.983056355461933,0.90997815,0.33921387791633606,363.0452
10011_00_10s.ARW,test_10011_08_0.1s.png,30.011631187395324,0.9100749,0.3382127285003662,357.0716
10011_00_10s.ARW,test_10011_09_0.1s.png,29.960140713881458,0.9102356,0.33820340037345886,357.696
10016_00_10s.ARW,test_10016_00_0.04s.png,27.534543485134733,0.77873063,0.4707793891429901,239.1584
10016_00_10s.ARW,test_10016_00_0.1s.png,28.533853123189775,0.8096388,0.45551079511642456,173.5964
10016_00_10s.ARW,test_10016_01_0.04s.png,27.52877471345578,0.77884287,0.4667847156524658,237.2756
10016_00_10s.ARW,test_10016_01_0.1s.png,28.531108153294575,0.8097332,0.4555521011352539,178.2528
10016_00_10s.ARW,test_10016_02_0.1s.png,28.526598770657422,0.8092436,0.4554334878921509,176.9108
